российской , російської
классы, класи
зимний, зимовий
смыслу, глузду
ректора, ректора
осуществляющее, здійснює
необщего, незагального
жителя, жителя
ограничительные, обмежувальні
компьютерных, комп'ютерних
заготовка, заготівля
текущему, поточному
резервные, резервні
радиотелефонной, радіотелефонного
профсоюзов, профспілок
владелец, власник
юбилейная, ювілейна
сырье, сировину
регулируемым, регульованим
публичным, публічним
компенсационной, компенсаційної
индексов, індексів
существенного, істотного
рыбного, рибного
профессиональными, професійними
президиум, президія
заверенных, завірених
союзе, союзі
репрессий, репресій
принимая, надаючи
отметить, відзначити
номенклатуры, номенклатури
проживающие, проживають
предыдущих, попередніх
обьекты, об'єкти
надежда, надія
комплексная, комплексна
гигиены, гігієни
бесплатная, безкоштовна
привлекательности, привабливості
конкретном, конкретному
заменяющего, замінює
судья, суддя
прямого, прямого
исполнено, виконано
комплексные, комплексні
службами, службами
зависит, залежить
досуга, дозвілля
газеты, газети
увеличивается, збільшується
сибирский, сибірський
расторжении, розірвання
оптово, оптово
цифр, цифр
уголовный, кримінальний
ратификацию, ратифікацію
ленинский, ленінський
запасы, запаси
гражданская, громадянська
выдвижения, висування
управляющая, керуюча
сосудов, судин
профилактический, профілактичний
неотложной, невідкладної
контракты, контракти
сельском, сільському
общения, спілкування
выполняться, виконуватися
грузовой, вантажний
термин, термін
общероссийским, загальноросійським
выданные, видані
хозяйством, господарством
универсальных, універсальних
неисправности, несправності
методологии, методології
конца, кінця
квалификация, кваліфікація
вокзальная, вокзальна
аппаратно, апаратно
родителям, батькам
расположенными, розташованими
изменениям, змін
шерстяной, вовняний
химические, хімічні
обновления, поновлення
надлежащего, належного
значимости, значущості
воспроизводству, відтворенню
правоприменительной, правозастосовчої
контролирует, контролює
инвалиды, інваліди
безработице, безробіттю
электронными, електронними
ценообразования, ціноутворення
создано, створено
помощников, помічників
граф, граф
ручной, ручний
российском, російському
номенклатуре, номенклатурі
нижнего, нижнього
лицевые, лицьові
ежегодное, щорічне
местность, місцевість
ставится, ставиться
реализуемый, реалізований
прогнозных, прогнозних
несоблюдения, недотримання
инфицированных, інфікованих
безвозмездных, безоплатних
шкаф, шафа
факультета, факультету
договорных, договірних
различия, відмінності
наружных, зовнішніх
ранней, ранньої
условно, умовно
личные, особисті
ключевых, ключових
электронную, електронну
принятой, прийнятої
ознакомлении, ознайомленні
несмотря, незважаючи
болезнью, хворобою
экспертно, експертно
сроками, термінами
семья, родина
плодородия, родючості
направленного, спрямованого
казначейство, казначейство
издании, виданні
готовых, готових
подводных, підводних
аудитории, аудиторії
автоматизированного, автоматизованого
штата, штату
полученная, отримана
подать, подати
олимпиады, олімпіади
особый, особливий
оздоровительной, оздоровчої
налогову, податкову
четвертым, четвертим
туризм, туризм
страховая, страхова
стандартом, стандартом
спорте, спорті
занятые, зайняті
дознания, дізнання
актам, актам
модулей, модулів
исходных, вихідних
затратам, витратам
заменив, замінивши
выпуску, випуску
тяжести, тяжкості
технологиях, технологіях
разницы, різниці
производит, виробляє
отвечать, відповідати
обыкновенных, звичайних
хозяиства, хозяіства
разряды, розряди
канал, канал
судовой, судновий
публикаций, публікацій
процессом, процесом
конкурсный, конкурсний
безнадзорных, бездоглядних
безвозмездного, безоплатного
решить, вирішити
вывести, вивести
уполномоченной, уповноваженої
увеличением, збільшенням
связью, зв'язком
потенциально, потенційно
текстильных, текстильних
неработающим, непрацюючим
избрании, обрання
вводу, у воду
аудит, аудит
стен, стін
планируемое, плановане
планами, планами
обучающих, навчальних
надзорной, наглядової
заключаемых, укладаються
загрязнений, забруднень
производитель, виробник
причинение, заподіяння
награжденным, нагородженим
комбинации, комбінації
аэропорту, аеропорту
труде, праці
путь, шлях
оценщиков, оцінювачів
назначенных, призначених
зданию, будівлі
вторая, друга
самолетов, літаків
контактный, контактний
заниматься, займатися
губернатору, губернатору
авансового, авансового
стаже, стажі
инвестора, інвестора
положениям, положенням
механизации, механізації
исключительного, виняткового
рода, роду
недопущению, недопущення
наступлении, настанні
дистанции, дистанції
утилизация, утилізація
август, Серпень
фирменное, фірмове
подстанций, підстанцій
паллиативной, паліативної
борисовичу, Борисовичу
отсрочки, відстрочки
частном, приватному
странах, країнах
налогообложению, оподаткуванню
уголовное, кримінальну
обеспечит, забезпечить
девятом, дев'ятому
аттестата, атестата
поэтому, тому
водах, водах
примечания, примітки
недельный, тижневий
определением, визначенням
кишки, кишки
закрепление, закріплення
выборе, виборі
величи, величин
преступлениях, злочинах
надлежащее, належне
качеств, якостей
диссертации, дисертації
вознаграждений, винагород
воздушные, повітряні
родам, пологів
показателю, показником
временная, тимчасова
адвокатов, адвокатів
работодателям, роботодавцям
представляющих, що представляють
нормальной, нормальної
красную, червону
единым, єдиним
брака, шлюбу
теплоснабжение, теплопостачання
организуется, організовується
недостижения, недосягнення
выявленного, виявленого
выдачей, видачею
аварийной, аварійної
санкций, санкцій
деятельно, діяльно
уточнению, уточненню
состоящим, що складається
секций, секцій
опыту, досвіду
казначейством, казначейством
инфраструктурой, інфраструктурою
героям, героям
атомного, атомного
эффективно, ефективно
участвующим, які беруть участь
уведомляется, повідомляється
травматизма, травматизму
распространению, поширенню
расположена, розташована
подтвердить, підтвердити
обоснованием, обґрунтуванням
носки, шкарпетки
лицензирующим, ліцензує
заданием, завданням
пунктам, пунктам
обеих, обох
бумагам, паперів
эффект, ефект
электро, електро
участкам, ділянкам
поставка, поставка
получены, отримані
полнотой, повнотою
недостаточности, недостатності
крана, крана
зал, зал
владельцами, власниками
продовольственное, продовольче
проверять, перевіряти
круглых, круглих
круг, коло
доступом, доступом
экспериментальных, експериментальних
традиционного, традиційного
рыбной, рибної
разрядов, розрядів
радиочастот, радіочастот
организационное, організаційне
определяющих, визначальних
знамени, прапора
гарнизона, гарнізону
водоохранных, водоохоронних
владеть, володіти
взносах, внески
субсидию, субсидію
одиноко, самотньо
наличием, наявністю
лежа, лежачи
камчатской, камчатської
внутридомовой, внутрішньобудинкової
превышение, перевищення
билета, квитка
характеризующих, характеризують
странами, країнами
социализации, соціалізації
прочий, інший
посетителей, відвідувачів
опись, опис
любом, будь-якому
изображени, зображення
пятидесяти, п'ятдесяти
правоохранительная, правоохоронна
поголовье, поголів'я
организованных, організованих
образцу, зразком
благополучии, благополуччя
телевизионная, телевізійна
радиоактивного, радіоактивного
отчисления, відрахування
единовременные, одноразові
свободно, вільно
проведенного, проведеного
предлагаемых, пропонованих
нефть, нафту
круга, кола
синего, синього
ингаляций, інгаляцій
здравоохране, охорони здоров
заработка, заробітку
госпитализации, госпіталізації
выделяются, виділяються
понятие, поняття
авансовых, авансових
Севастополь, Севастопіль
агентом, агентом
сотрудником, співробітником
рассчитываются, розраховуються
разграничена, розмежовано
правосудия, правосуддя
поверхностных, поверхневих
начальниками, начальниками
брюки, брюки
приемных, прийомних
нумерации, нумерації
несанкционированного, несанкціонованого
альфа, альфа
связаны, пов'язані
радиовещательная, радіомовна
аннулирования, анулювання
транспортировку, транспортування
редакция, редакція
реализовать, реалізувати
признаны, визнані
почетный, почесний
давление, тиск
гражданстве, громадянство
оплачиваемый, оплачувану
архитектура, архітектура
шрифтом, шрифтом
указаниями, вказівками
работодатель, роботодавець
представляемой, подається
подъема, підйому
опечаток, помилок
абилитации, абилитации
четвертого, четвертого
сопоставимых, порівнянних
печатными, друкованими
математических, математичних
генерирующего, генеруючого
бланки, бланки
безвозмездно, безоплатно
Анадырь, Анадир
собственную, власну
сельскохозяйственные, сільськогосподарські
первичная, первинна
невыполнения, невиконання
местом, місцем
войсковой, військовий
углеводородного, вуглеводневої
расписания, розкладу
проходят, проходять
налогоплательщиками, платниками податків
высоким, високим
явлений, явищ
присуждении, присудження
оборотной, зворотному
минобразование, Міносвіти
возложены, покладені
уральского, уральського
селе, селі
рубки, рубки
разбивкой, розбивкою
подана, подана
эксплуатирующей, експлуатуючої
экспертам, експертам
отправки, відправки
оздоровительные, оздоровчі
контрактом, контрактом
воздухе, повітрі
бригад, бригад
безопасный, безпечний
убытки, збитки
региональному, регіональному
опроса, опитування
награждение, нагородження
маркировки, маркування
исправлении, виправленні
выплачиваются, виплачуються
отдельный, окремий
другу, одному
экологически, екологічно
трудоустроенных, працевлаштованих
высококвалифицированных, висококваліфікованих
угрозой, загрозою
справочник, довідник
проинформировать, проінформувати
областные, обласні
нагрудным, нагрудним
награду, нагороду
лучший, кращий
визы, візи
популяризация, популяризація
вычетом, вирахуванням
выручка, виручка
артист, артист
справочных, довідкових
казенным, казенним
верхняя, верхня
фермеров, фермерів
факты, факти
позволяющие, дозволяють
надзорных, наглядових
мебелью, меблями
выплатах, виплати
автодорога, автодорога
совершенствованием, вдосконаленням
прямо, прямо
периодические, періодичні
пензенский, пензенський
обоснованность, обгрунтованість
союзов, спілок
переходом, переходом
операциях, операціях
обоих, обох
исполнителями, виконавцями
инициативной, ініціативної
героя, героя
выплатой, виплатою
справочно, довідково
поляна, поляна
материальные, матеріальні
лицевом, особовому
спирт, спирт
соответствием, відповідністю
путевки, путівки
летной, льотної
затопления, затоплення
доходности, прибутковості
регистрирующий, реєструючий
поставленные, поставлені
местностей, місцевостей
Курск, Курськ
духовно, духовно
согласиться, погодитися
примечании, примітці
оплатой, оплатою
общежития, гуртожитку
застройщиком, забудовником
шахт, шахт
трудоустройству, працевлаштування
сердца, серця
прививок, щеплень
платежного, платіжного
наем, наймання
концу, кінця
дневного, денного
вблизи, поблизу
туристов, туристів
советы, поради
сахара, цукру
пятого, п'ятого
перечисленные, перераховані
общераспространенных, загальнопоширених
областными, обласними
источниках, джерелах
внешнеторговой, зовнішньоторговельної
Белоруссии, Білорусії
учитель, учитель
составных, складових
паевых, пайових
недостатки, недоліки
послом, послом
плюс, плюс
остров, острів
монтажу, монтажу
выступают, виступають
трудоустройстве, працевлаштуванні
раиона, раіоне
отопительный, опалювальний
оборонному, оборонному
испытательного, випробувального
горного, гірського
исполняет, виконує
допустимого, допустимого
территориальная, територіальна
стадиона, стадіону
примерной, зразковою
некоммерческого, некомерційного
компонентной, компонентної
большого, великого
конституционными, конституційними
защитного, захисного
замещающие, заміщають
закрепления, закріплення
бухгалтерском, бухгалтерському
анализу, аналізу
сухой, сухий
прицепов, причепів
очистка, очистка
гарнизонного, гарнізонного
работающие, працюють
получил, отримав
пожаре, пожежі
отклонение, відхилення
определенными, певними
квартиры, квартири
грамма, грами
бригадиру, бригадиру
художнику, художнику
учебная, навчальна
обжалование, оскарження
зачислению, зарахуванню
улиц, вулиць
термины, терміни
региональное, регіональне
радиационного, радіаційного
неполного, неповного
контрольной, контрольної
выдать, видати
являющийся, є
этнокультурное, етнокультурне
фото, фото
становится, стає
сводную, зведену
принудительного, примусового
первые, перші
одаренных, обдарованих
континентальном, континентальному
коммерческим, комерційним
цепи, ланцюги
оренбургского, оренбурзького
лабораторного, лабораторного
комплектования, комплектування
бланк, бланк
южного, південного
производителем, виробником
постоянную, постійну
посещение, відвідування
универсальная, універсальна
террористических, терористичних
преступным, злочинним
предотвращении, запобігання
оказана, надано
местными, місцевими
молочной, молочної
минимизации, мінімізації
издержек, витрат
газом, газом
продовольственного, продовольчого
налогоплательщик, платник податків
меру, міру
аппаратура, апаратура
реформирования, реформування
неиспользован, невикористаний
лицензируемого, ліцензованого
комплектов, комплектів
изменить, змінити
выходом, виходом
возражения, заперечення
акция, акція
российское, російське
пригородных, приміських
овец, овець
испытательных, випробувальних
заемных, позикових
хозяйственном, господарському
спутниковых, супутникових
претендента, претендента
отдельное, окреме
общеобразовательные, загальноосвітні
легких, легких
выступать, виступати
фестиваля, фестивалю
рассматриваемые, розглянуті
народно, народно
выпускаемой, випускається
табака, тютюну
предоставленного, наданого
очистные, очисні
осуществлена, здійснена
критерию, критерієм
кандидатуры, кандидатури
юридическую, юридичну
трудоспособного, працездатного
идентификатор, ідентифікатор
внутригосударственных, внутрішньодержавних
темпов, темпів
процентная, процентна
лицензиат, ліцензіат
Вьетнам, В'єтнам
столов, столів
составляются, складаються
размещать, розміщувати
оздоровлению, оздоровленню
мозга, мозку
летием, річчям
въезд, в'їзд
администра, адміністра
штатное, штатний
комиссиям, комісіям
капитана, капітана
централизованным, централізованим
свободное, вільне
регулирующими, регулюючими
гарантия, гарантія
автономными, автономними
первичную, первинну
оптовой, оптової
многоквартирными, багатоквартирними
знание, знання
годовая, річна
бета, бета
аренда, оренда
профессиональ, професійні
оборона, оборона
английском, англійською
сельскохозяй, части
европейской, європейської
документационного, документаційного
ученое, вчене
объём, обсяг
донор, донор
выплатного, виплатного
строения, будови
распорядителям, розпорядникам
продавца, продавця
образователь, образователь
норме, нормі
испытание, випробування
инструктажа, інструктажу
южном, південному
спектра, спектра
методическим, методичним
скорая, швидка
реабилитацию, реабілітацію
покупателя, покупця
позволяют, дозволяють
неработающих, непрацюючих
привлеченным, залученими
представляемые, подаються
интерната, інтернату
акцизы, акцизи
сегмента, сегмента
поставляемую, поставляється
концертных, концертних
выездная, виїзна
билетов, квитків
загрязненных, забруднених
санитарный, санітарний
нуждающимися, нужденними
автомобильном, автомобільному
сервиса, сервісу
рамок, рамок
полей, полів
подсчет, підрахунок
осложнений, ускладнень
минеральные, мінеральні
изготовленные, виготовлені
содержащая, що містить
преступностью, злочинністю
повестку, порядок
направлениями, напрямками
данную, дану
сельско, сільсько
квалификаций, кваліфікацій
администратор, адміністратор
справочные, довідкові
родители, батьки
первоочередных, першочергових
нарушенных, порушених
накопления, накопичення
законным, законниму
переработка, переробка
некоммерческая, некомерційна
километров, кілометрів
графике, графіку
администрацию, адміністрацію
характеристикам, характеристикам
постоянным, постійним
западно, західно
евгеньевича, Євгеновича
дальнейшему, подальшого
городские, міські
генерирующих, генеруючих
воде, воді
штуки, штуки
рецептам, рецептами
огнестрельного, вогнепальної
врачом, лікарем
штрафам, штрафів
упаковке, упаковці
корпусов, корпусів
методическому, методичного
газораспределительным, газорозподільним
радиосвязи, радіозв'язку
предлагается, пропонується
компетентных, компетентних
издает, видає
частот, частот
функциональные, функціональні
ресурс, ресурс
производимой, виробленої
приостановить, призупинити
пенсия, пенсія
вещей, речей
борьба, боротьба
техникум, технікум
победителя, переможця
целевыми, цільовими
филиалы, філії
страхователем, страхувальником
работающего, працюючого
облучения, опромінення
учредителей, засновників
мужчины, чоловіки
предоставленным, наданим
подпрограммой, підпрограмою
конструктивных, конструктивних
продуктивности, продуктивності
открепительным, відкріпними
бытовой, побутової
ценовых, цінових
самоуправление, самоврядування
кабелей, кабелів
доверия, довіри
обстановке, обстановці
западный, західний
традиционных, традиційних
резолюции, резолюції
книг, книг
эфирное, ефірне
положительно, позитивно
кредитному, кредитному
банкротом, банкрутом
аналоги, аналоги
актуализации, актуалізації
знаниям, знань
дополнительную, додаткову
денежным, грошовим
центральному, центральному
темы, теми
отзыв, відгук
отдаленных, віддалених
значимым, значущим
выдавать, видавати
бумага, папір
расстройства, розлади
рабочую, робочу
судебным, судовим
продвижение, просування
лизации, лизации
коляски, коляски
грузового, вантажного
чистой, чистої
судне, судні
содержащее, що містить
пересмотра, перегляду
интересам, інтересам
транзитной, транзитної
посла, посла
оргтехникой, оргтехнікою
объединенной, об'єднаної
общежитие, гуртожиток
экономическими, економічними
имущественный, майновий
цену, ціну
талантливой, талановитої
орел, орел
маршрутах, маршрутах
депутатам, депутатам
взрослых, дорослих
аттестацию, атестацію
физики, фізики
предыдущем, попередньому
погашению, погашення
охвата, охоплення
летного, льотного
лесовосстановления, лісовідновлення
курсу, курсу
золотистого, золотистого
дизельных, дизельних
составов, складів
расположено, розташоване
карту, карту
безработными, безробітними
тираж, тираж
справочной, довідкової
протоколах, протоколах
погрузки, навантаження
кубка, кубка
закрытия, закриття
дошкольные, дошкільні
бытовые, побутові
тяжеловесных, великовагових
территориальную, територіальну
полигона, полігону
плиты, плити
определяемой, обумовленою
лишению, позбавлення
землепользования, землекористування
выводу, висновку
бурятского, бурятського
администраторами, адміністраторами
связанная, пов'язана
помещениям, приміщень
надежду, надію
красной, червоною
дополнениями, доповненнями
атмосферного, атмосферного
фактическим, фактичним
установленную, встановлену
резидентами, резидентами
расчетам, розрахунками
нагрудного, нагрудного
клеточного, клітинного
вариантов, варіантів
Череповец, Череповець
кормильца, годувальника
кварталы, квартали
изложенного, викладеного
зеленая, зелена
цифровых, цифрових
подтверждающая, що підтверджує
закупках, закупівлі
довольствие, забезпечення
оснащенных, оснащених
моделирования, моделювання
ипотеке, іпотеці
диапазоне, діапазоні
формированием, формуванням
собаки, собаки
повлиять, вплинути
диких, диких
геодезических, геодезичних
расположение, розташування
равен, дорівнює
протокольными, протокольними
поддержанию, чин
сто, сто
служебная, службова
следующая, наступна
открывать, відкривати
вьшолнение, вьшолненіе
вывозе, вивезенні
собственными, власними
разногласия, розбіжності
передавать, передавати
организуют, організують
общеобразова, загальноосвітньої
машино, машино
кабельных, кабельних
пользователями, користувачами
подакцизной, підакцизної
муки, борошна
влияющих, впливають
ансамбля, ансамблю
ярмарок, ярмарків
полевая, польова
котельная, котельня
энергоснабжения, енергопостачання
химии, хімії
резидент, резидент
профилактику, профілактику
произведение, твір
присяжные, присяжні
коллегиального, колегіального
заседатели, засідателі
заинтересованность, зацікавленість
заемщиком, позичальником
ввозных, ввізних
активное, активне
снизить, знизити
размеру, розміром
радиационному, радіаційного
проездных, проїзних
проектами, проектами
переподготовке, перепідготовки
колхоза, колгоспу
заключенными, ув'язненими
внешнеэкономических, зовнішньоекономічних
аналитическое, аналітичне
аквакультуры, аквакультури
учебы, навчання
публичное, публічне
проводимой, проведеної
подписанных, підписаних
плотности, щільності
наравне, нарівні
инвестиционная, інвестиційна
доведения, доведення
страна, країна
согласова, погодженням
слесарь, слюсар
проспекта, проспекту
преодоления, подолання
удовлетворенности, задоволеності
Рязань, Рязань
предельную, граничну
незанятых, незайнятих
безупречную, бездоганну
амбулаторно, амбулаторно
энергоэффективности, енергоефективності
собственник, власник
семена, насіння
открытой, відкритої
научными, науковими
матерям, матерям
клиники, клініки
экземпляры, екземпляри
трактористу, трактористу
судоходства, судноплавства
майора, майора
компоненты, компоненти
комплексом, комплексом
принадлежность, належність
открепительные, відкріпні
наркоманией, наркоманією
контактные, контактні
кадровым, кадровим
вещевого, речового
беременных, вагітних
атмосферный, атмосферне
уклонения, ухилення
указы, укази
осмотры, огляди
концессионных, концесійних
количе, кількіст
европейским, європейським
выдающиеся, видатнішення
территориально, територіально
сооружениями, спорудами
персональный, персональний
масло, олія
воинский, військовий
возраст, вік
маршрут, маршрут
удостоверениям, посвідченнями
увечья, каліцтва
традиций, традицій
потенциал, потенціал
повреждение, пошкодження
номере, номері
коррекции, корекції
канализационных, каналізаційних
инфраструктурных, інфраструктурних
запрашиваемых, запитуваних
делает, робить
реформе, реформі
занятие, заняття
целостности, цілісності
северных, північних
координатор, координатор
каналах, каналах
выставочно, виставково
выписок, виписок
возбуждении, порушення
созданные, створені
реконструкцией, реконструкцією
покупки, покупки
подведомственным, підвідомчим
месячного, місячного
верхний, верхній
театрального, театрального
меж, між
ведомственный, відомчий
балла, бали
аукционной, аукціонної
суды, суди
предоставляют, надають
переселенцев, переселенців
мотивации, мотивації
клинический, клінічний
вузов, вузів
взаимных, взаємних
эксплуатационного, експлуатаційного
предусмотренному, передбаченому
помиловании, помилування
межгосударственных, міждержавних
исключив, виключивши
гигиенические, гігієнічні
аудиторского, аудиторського
преступление, злочин
ориентированным, орієнтованим
латвийской, латвійської
заслуженного, заслуженого
заимствовано, запозичене
грузы, вантажі
членах, членах
предъявляемых, пропонованих
площадке, майданчику
обстоятельствам, обставинам
грузовые, вантажні
биомедицинского, біомедичного
сестре, сестрі
многодетным, багатодітним
линиями, лініями
карте, мапі
звуковой, звуковий
ванной, ванній
регион, регіон
наблюдателей, спостерігачів
комплектование, комплектування
заключены, укладені
ведением, веденням
ботинки, черевики
стандартных, стандартних
мостов, мостів
управленческие, управлінські
специфики, специфіки
республиканскому, республіканському
регистр, регістр
перечисляются, перераховуються
очистке, очищенні
объединению, об'єднанню
росписью, розписом
пособиях, посібниках
отказаться, відмовитися
нефтегазового, нафтогазового
надписей, написів
коммунистическая, комуністична
разрабатываемых, розроблюваних
погашении, погашенні
обжаловано, оскаржено
доценту, доценту
воздействием, впливом
прошедшие, минулі
пространстве, просторі
отзыву, відкликання
осуществляемого, здійснюваного
количественных, кількісних
Кавказа, Кавказу
вскрытия, розтину
предназначенного, призначеного
незаконных, незаконних
недоимки, недоїмки
линейного, лінійного
выражения, вираження
соискателем, здобувачем
соглашениях, угодах
перераспределения, перерозподілу
нахождение, знаходження
исправительных, виправних
герба, герба
платежные, платіжні
оказанной, наданої
нанесения, нанесення
морские, морські
мировом, світовому
выданной, виданої
вход, вхід
библиотечных, бібліотечних
разработанные, розроблені
исключая, виключаючи
доктор, доктор
автоматических, автоматичних
предусмотренная, передбачена
информируют, інформують
извещении, повідомленні
бюджетах, бюджетах
пребыванием, перебуванням
консервации, консервації
злокачественными, злоякісними
секторе, секторі
орёл, орел
линиях, лініях
вынужденных, вимушених
валютном, валютному
учредительными, установчими
сорок, сорок
содержаться, міститися
предусматривающе, предусматрівающе
педагогические, педагогічні
точностью, точністю
судебное, судове
составляющей, складовою
